T=68796	 X=2871	 Y=9233	 Z=5611
T=68796	 X=2656	 Y=9312	 Z=5658
T=68796	 X=2472	 Y=9345	 Z=5676
T=68796	 X=2580	 Y=9311	 Z=5512
T=68796	 X=2375	 Y=9350	 Z=5507
T=68796	 X=2366	 Y=9384	 Z=5410
T=68796	 X=2241	 Y=9421	 Z=5283
T=68796	 X=2133	 Y=9468	 Z=5185
T=68796	 X=1727	 Y=9456	 Z=4966
T=68796	 X=1495	 Y=9473	 Z=4779
T=68796	 X=1224	 Y=9546	 Z=4671
T=68796	 X=1085	 Y=9622	 Z=4578
T=68796	 X=894	 Y=9668	 Z=4482
T=68796	 X=694	 Y=9757	 Z=4440
T=68796	 X=489	 Y=9852	 Z=4423
T=68797	 X=448	 Y=9928	 Z=4394
T=68797	 X=412	 Y=10031	 Z=4390
T=68797	 X=376	 Y=10137	 Z=4335
T=68797	 X=394	 Y=10210	 Z=4315
T=68797	 X=606	 Y=10381	 Z=4535
T=68797	 X=803	 Y=10643	 Z=5037
T=68797	 X=1076	 Y=10722	 Z=5233
T=68797	 X=1270	 Y=10793	 Z=5323
T=68797	 X=1089	 Y=10752	 Z=5058
T=68797	 X=1036	 Y=10751	 Z=4888
T=68797	 X=949	 Y=10794	 Z=4814
T=68797	 X=881	 Y=10827	 Z=4712
T=68797	 X=926	 Y=11014	 Z=4882
T=68797	 X=897	 Y=11161	 Z=5026
T=68797	 X=1201	 Y=11229	 Z=5045
T=68797	 X=1236	 Y=11389	 Z=5207
T=68798	 X=706	 Y=11684	 Z=5532
T=68798	 X=571	 Y=11694	 Z=5410
T=68798	 X=571	 Y=11809	 Z=5477
T=68798	 X=559	 Y=11989	 Z=5684
T=68798	 X=488	 Y=12129	 Z=5785
T=68798	 X=1129	 Y=11986	 Z=5591
T=68798	 X=1369	 Y=11964	 Z=5489
T=68798	 X=1360	 Y=11939	 Z=5335
T=68798	 X=1244	 Y=11996	 Z=5249
T=68798	 X=1209	 Y=11988	 Z=5058
T=68798	 X=1166	 Y=11988	 Z=4880
T=68798	 X=1092	 Y=12030	 Z=4755
T=68798	 X=1006	 Y=12091	 Z=4643
T=68798	 X=1544	 Y=12457	 Z=5179
T=68798	 X=1519	 Y=12585	 Z=5129
T=68798	 X=1458	 Y=12518	 Z=4911
T=68798	 X=1349	 Y=12525	 Z=4768
T=68799	 X=1230	 Y=12550	 Z=4625
T=68799	 X=910	 Y=12511	 Z=4500
T=68799	 X=1029	 Y=12604	 Z=4396
T=68799	 X=1100	 Y=12689	 Z=4314
T=68799	 X=1095	 Y=12764	 Z=4224
T=68799	 X=1109	 Y=12848	 Z=4192
T=68799	 X=1062	 Y=12901	 Z=4131
T=68799	 X=1022	 Y=12948	 Z=4071
T=68799	 X=1031	 Y=12983	 Z=4022
T=68799	 X=887	 Y=13120	 Z=4157
T=68799	 X=824	 Y=13214	 Z=4224
T=68799	 X=820	 Y=13279	 Z=4196
T=68799	 X=815	 Y=13406	 Z=4302
T=68799	 X=801	 Y=13572	 Z=4465
T=68799	 X=722	 Y=13667	 Z=4479
T=68799	 X=651	 Y=13758	 Z=4496
T=68799	 X=656	 Y=13842	 Z=4526
T=68799	 X=779	 Y=13817	 Z=4388
T=68800	 X=825	 Y=13937	 Z=4489
T=68800	 X=851	 Y=14060	 Z=4569
T=68800	 X=875	 Y=14145	 Z=4600
T=68800	 X=869	 Y=14235	 Z=4616
T=68800	 X=859	 Y=14263	 Z=4492
T=68800	 X=835	 Y=14316	 Z=4386
T=68800	 X=879	 Y=14354	 Z=4323
T=68800	 X=881	 Y=14399	 Z=4218
T=68800	 X=864	 Y=14459	 Z=4185
T=68800	 X=860	 Y=14515	 Z=4160
T=68800	 X=867	 Y=14571	 Z=4141
T=68800	 X=837	 Y=14635	 Z=4108
T=68800	 X=818	 Y=14695	 Z=4069
T=68800	 X=818	 Y=14759	 Z=4035
T=68800	 X=810	 Y=14821	 Z=3999
T=68800	 X=786	 Y=14901	 Z=3946
T=68800	 X=743	 Y=14965	 Z=3898
T=68801	 X=674	 Y=15038	 Z=3839
T=68801	 X=621	 Y=15136	 Z=3778
T=68801	 X=592	 Y=15208	 Z=3722
T=68801	 X=609	 Y=15245	 Z=3678
T=68801	 X=600	 Y=15305	 Z=3702
T=68801	 X=638	 Y=15751	 Z=4406
T=68801	 X=695	 Y=16082	 Z=4809
T=68801	 X=799	 Y=16254	 Z=4920
T=68801	 X=999	 Y=16420	 Z=5061
T=68801	 X=1296	 Y=16110	 Z=4716
T=68801	 X=1145	 Y=16142	 Z=4772
T=68801	 X=1064	 Y=16049	 Z=4570
T=68801	 X=1018	 Y=16052	 Z=4418
T=68801	 X=1015	 Y=16069	 Z=4284
T=68801	 X=1014	 Y=16113	 Z=4220
T=68801	 X=1119	 Y=16317	 Z=4359
T=68801	 X=1108	 Y=16339	 Z=4281
T=68802	 X=1069	 Y=16376	 Z=4188
T=68802	 X=1077	 Y=16444	 Z=4133
T=68802	 X=1084	 Y=16511	 Z=4087
T=68802	 X=1090	 Y=16572	 Z=4068
T=68802	 X=1134	 Y=16665	 Z=4090
T=68802	 X=1120	 Y=16723	 Z=4073
T=68802	 X=1072	 Y=16753	 Z=4014
T=68802	 X=1014	 Y=16835	 Z=4010
T=68802	 X=1028	 Y=16866	 Z=3943
T=68802	 X=990	 Y=16913	 Z=3935
T=68802	 X=1006	 Y=17006	 Z=3940
T=68802	 X=1050	 Y=17080	 Z=3912
T=68802	 X=1090	 Y=17149	 Z=3898
T=68802	 X=1120	 Y=17205	 Z=3895
T=68802	 X=1135	 Y=17267	 Z=3878
T=68802	 X=1125	 Y=17320	 Z=3861
T=68802	 X=1111	 Y=17389	 Z=3830
T=68802	 X=1096	 Y=17455	 Z=3803
T=68803	 X=1084	 Y=17528	 Z=3771
T=68803	 X=1061	 Y=17601	 Z=3739
T=68803	 X=1066	 Y=17674	 Z=3709
T=68803	 X=1096	 Y=17748	 Z=3682
T=68803	 X=1130	 Y=17817	 Z=3657
T=68803	 X=1178	 Y=17897	 Z=3621
T=68803	 X=1252	 Y=17986	 Z=3576
T=68803	 X=1364	 Y=17918	 Z=3334
T=68803	 X=1302	 Y=17995	 Z=3501
T=68803	 X=1258	 Y=18032	 Z=3537
T=68803	 X=1233	 Y=18067	 Z=3549
T=68803	 X=1182	 Y=18108	 Z=3525
T=68803	 X=1155	 Y=18158	 Z=3499
T=68803	 X=1186	 Y=18220	 Z=3477
T=68803	 X=1180	 Y=18287	 Z=3444
T=68803	 X=1171	 Y=18348	 Z=3418
T=68803	 X=1175	 Y=18469	 Z=3455
T=68803	 X=1161	 Y=18532	 Z=3440
T=68803	 X=1114	 Y=18598	 Z=3399
T=68804	 X=1051	 Y=18674	 Z=3342
T=68804	 X=1026	 Y=18770	 Z=3274
T=68804	 X=997	 Y=18856	 Z=3228
T=68804	 X=1002	 Y=18920	 Z=3211
T=68804	 X=1051	 Y=18979	 Z=3206
T=68804	 X=1105	 Y=19055	 Z=3177
T=68804	 X=1184	 Y=19131	 Z=3148
T=68804	 X=1238	 Y=19077	 Z=2950
T=68804	 X=1219	 Y=19112	 Z=2968
T=68804	 X=1246	 Y=19148	 Z=2989
T=68804	 X=1290	 Y=19191	 Z=2984
T=68804	 X=1318	 Y=19231	 Z=2974
T=68804	 X=1304	 Y=19279	 Z=2942
T=68804	 X=1311	 Y=19329	 Z=2914
T=68804	 X=1346	 Y=19401	 Z=2867
T=68804	 X=1346	 Y=19476	 Z=2818
T=68804	 X=1333	 Y=19552	 Z=2768
T=68804	 X=1358	 Y=19633	 Z=2712
T=68805	 X=1410	 Y=19712	 Z=2656
T=68805	 X=1467	 Y=19790	 Z=2601
T=68805	 X=1531	 Y=19878	 Z=2534
T=68805	 X=1565	 Y=19970	 Z=2468
T=68805	 X=1585	 Y=20068	 Z=2395
T=68805	 X=1591	 Y=20176	 Z=2312
